Position,Name,Scoring Average,SG: Off the Tee,SG: Approach the Green,SG: Around the Green,SG: Putting,SG: Tee to Green,,
1,Jon Rahm,69.04,0.834,0.717,0.216,0.331,1.767,,
2,Webb Simpson,69.19,0.071,0.393,0.353,0.435,0.818,,
3,Daniel Berger,69.25,0.264,0.834,-0.017,0.214,1.082,,
4,Patrick Cantlay,69.4,0.569,0.486,0.363,0.402,1.418,,
5,Cameron Smith,69.49,-0.02,0.291,0.261,0.573,0.533,,
6,Abraham Ancer,69.53,,,,,,,
7,Justin Thomas,69.54,,,,,,,
8,Bryson DeChambeau,69.58,,,,,,,
9,Dustin Johnson,69.6,,,,,,,
10,Sam Burns,69.61,,,,,,,
T11,Russell Henley,69.62,,,,,,,
T11,Harris English,69.62,,,,,,,
13,Joaquin Niemann,69.67,,,,,,,
14,Collin Morikawa,69.69,,,,,,,
T15,Xander Schauffele,69.71,,,,,,,
T15,Brooks Koepka,69.71,,,,,,,
T15,Seamus Power,69.71,,,,,,,
18,Louis Oosthuizen,69.72,,,,,,,
19,Patton Kizzire,69.76,,,,,,,
20,Brian Harman,69.77,,,,,,,
21,Emiliano Grillo,69.78,,,,,,,
22,Cameron Tringale,69.79,,,,,,,
T23,Scottie Scheffler,69.81,,,,,,,
T23,Viktor Hovland,69.81,,,,,,,
25,Sungjae Im,69.82,,,,,,,
26,Tony Finau,69.83,,,,,,,
27,Sergio Garcia,69.85,,,,,,,
28,Kevin Na,69.86,,,,,,,
29,Corey Conners,69.88,,,,,,,
30,Will Zalatoris,69.92,,,,,,,
31,Jordan Spieth,69.94,,,,,,,
32,Chris Kirk,69.97,,,,,,,
33,Doug Ghim,69.98,,,,,,,
T34,Jason Kokrak,69.99,,,,,,,
T34,Charley Hoffman,69.99,,,,,,,
T36,Kevin Streelman,70.07,,,,,,,
T36,Hank Lebioda,70.07,,,,,,,
T38,James Hahn,70.09,,,,,,,
T38,Patrick Reed,70.09,,,,,,,
T40,Stewart Cink,70.1,,,,,,,
T40,Paul Casey,70.1,,,,,,,
T40,Talor Gooch,70.1,,,,,,,
43,Brice Garnett,70.11,,,,,,,
T44,Rory McIlroy,70.14,,,,,,,
T44,Jhonattan Vegas,70.14,,,,,,,
T46,Anirban Lahiri,70.15,,,,,,,
T46,Hideki Matsuyama,70.15,,,,,,,
48,Aaron Wise,70.16,,,,,,,
49,Ryan Palmer,70.19,,,,,,,
50,Keegan Bradley,70.2,,,,,,,
T51,Carlos Ortiz,70.22,,,,,,,
T51,Maverick McNealy,70.22,,,,,,,
53,Roger Sloan,70.23,,,,,,,
54,Pat Perez,70.26,,,,,,,
55,Ryan Armour,70.27,,,,,,,
T56,Cam Davis,70.28,,,,,,,
T56,Sepp Straka,70.28,,,,,,,
58,Harold Varner III,70.3,,,,,,,
59,Zach Johnson,70.33,,,,,,,
60,Si Woo Kim,70.35,,,,,,,
T61,Adam Schenk,70.36,,,,,,,
T61,Tyrrell Hatton,70.36,,,,,,,
63,Brian Stuard,70.37,,,,,,,
64,Cameron Percy,70.38,,,,,,,
T65,Charles Howell III,70.39,,,,,,,
T65,Scott Stallings,70.39,,,,,,,
67,Kevin Tway,70.4,,,,,,,
68,Russell Knox,70.41,,,,,,,
69,Matt Jones,70.43,,,,,,,
T70,Bo Hoag,70.45,,,,,,,
T70,Mark Hubbard,70.45,,,,,,,
T72,Scott Piercy,70.46,,,,,,,
T72,Ian Poulter,70.46,,,,,,,
T74,Luke List,70.48,,,,,,,
T74,Andrew Putnam,70.48,,,,,,,
76,Billy Horschel,70.5,,,,,,,
77,Sebastián Muñoz,70.51,,,,,,,
78,Brendon Todd,70.53,,,,,,,
79,Camilo Villegas,70.57,,,,,,,
T80,Satoshi Kodaira,70.58,,,,,,,
T80,Harry Higgs,70.58,,,,,,,
T80,Shane Lowry,70.58,,,,,,,
83,Nick Taylor,70.59,,,,,,,
T84,Lucas Glover,70.6,,,,,,,
T84,Vince Whaley,70.6,,,,,,,
T84,Max Homa,70.6,,,,,,,
T87,Matthew NeSmith,70.61,,,,,,,
T87,Alex Noren,70.61,,,,,,,
T87,Kyle Stanley,70.61,,,,,,,
90,Erik van Rooyen,70.62,,,,,,,
91,Chase Seiffert,70.63,,,,,,,
T92,Matt Fitzpatrick,70.64,,,,,,,
T92,Branden Grace,70.64,,,,,,,
T94,C.T. Pan,70.65,,,,,,,
T94,Adam Scott,70.65,,,,,,,
T96,K.H. Lee,70.67,,,,,,,
T96,Tom Hoge,70.67,,,,,,,
T98,Mackenzie Hughes,70.68,,,,,,,
T98,Robert Streb,70.68,,,,,,,
T98,Brandt Snedeker,70.68,,,,,,,
T101,Aaron Baddeley,70.69,,,,,,,
T101,Lanto Griffin,70.69,,,,,,,
T103,Josh Teater,70.71,,,,,,,
T103,Jason Day,70.71,,,,,,,
T103,Keith Mitchell,70.71,,,,,,,
T103,Sam Ryder,70.71,,,,,,,
107,Chesson Hadley,70.72,,,,,,,
T108,Kevin Kisner,70.74,,,,,,,
T108,Justin Rose,70.74,,,,,,,
T108,Matt Kuchar,70.74,,,,,,,
T108,Doc Redman,70.74,,,,,,,
112,Mark Anderson,70.75,,,,,,,
T113,Troy Merritt,70.76,,,,,,,
T113,Vaughn Taylor,70.76,,,,,,,
T113,Nate Lashley,70.76,,,,,,,
T113,Bronson Burgoon,70.76,,,,,,,
T117,Rob Oppenheim,70.77,,,,,,,
T117,Rory Sabbatini,70.77,,,,,,,
T119,John Huh,70.78,,,,,,,
T119,Kramer Hickok,70.78,,,,,,,
T119,Denny McCarthy,70.78,,,,,,,
122,Joel Dahmen,70.79,,,,,,,
T123,Henrik Norlander,70.81,,,,,,,
T123,Patrick Rodgers,70.81,,,,,,,
T125,Ben Taylor,70.82,,,,,,,
T125,Michael Thompson,70.82,,,,,,,
T125,Chez Reavie,70.82,,,,,,,
128,Joseph Bramlett,70.83,,,,,,,
T129,Peter Malnati,70.85,,,,,,,
T129,Austin Cook,70.85,,,,,,,
131,Charl Schwartzel,70.86,,,,,,,
132,Marc Leishman,70.88,,,,,,,
133,Michael Gligic,70.9,,,,,,,
134,David Hearn,70.92,,,,,,,
135,Matthew Wolff,70.93,,,,,,,
136,Sean O'Hair,70.94,,,,,,,
137,Bubba Watson,70.96,,,,,,,
138,Adam Hadwin,70.97,,,,,,,
139,Beau Hossler,70.98,,,,,,,
140,Ben Martin,71,,,,,,,
141,Hudson Swafford,71.02,,,,,,,
142,Jason Dufner,71.03,,,,,,,
143,Wyndham Clark,71.04,,,,,,,
144,Richy Werenski,71.08,,,,,,,
145,Scott Brown,71.09,,,,,,,
T146,Brendan Steele,71.13,,,,,,,
T146,Martin Laird,71.13,,,,,,,
T148,Ryan Brehm,71.14,,,,,,,
T148,Andrew Landry,71.14,,,,,,,
T148,Will Gordon,71.14,,,,,,,
T151,Tyler McCumber,71.16,,,,,,,
T151,Bill Haas,71.16,,,,,,,
153,J.T. Poston,71.17,,,,,,,
154,Adam Long,71.18,,,,,,,
155,J.J. Spaun,71.19,,,,,,,
T156,Tommy Fleetwood,71.2,,,,,,,
T156,Luke Donald,71.2,,,,,,,
T158,D.J. Trahan,71.24,,,,,,,
T158,Lee Westwood,71.24,,,,,,,
T158,Dylan Frittelli,71.24,,,,,,,
T158,Chris Baker,71.24,,,,,,,
162,Tom Lewis,71.26,,,,,,,
163,Jim Herman,71.33,,,,,,,
T164,Brandon Hagy,71.34,,,,,,,
T164,Matt Wallace,71.34,,,,,,,
T166,Rafael Campos,71.35,,,,,,,
T166,Rickie Fowler,71.35,,,,,,,
168,Cameron Champ,71.39,,,,,,,
169,Bo Van Pelt,71.43,,,,,,,
170,Nelson Ledesma,71.46,,,,,,,
