1990,2000,2010,2020
83.67,79.75,76.08,74.5
79.19,79.57,75.94,73.86
78.97,78.76,74,71.84
77.84,78.75,73.72,71.36
77.57,77.96,72.86,71.29
76.59,77.28,72.42,69.87
75.75,77.24,71.88,69.73
75.71,76.67,71.24,69.57
74.54,76.43,71.13,69.49
74.16,76.36,71.01,69.28
74.08,76.33,70.92,68.63
74.04,75.61,70.58,68.44
73.92,75.33,70.5,68.27
73.47,75.18,70.44,68.27
73.24,75.15,70.34,68.24
73.06,75.07,70.31,67.84
72.61,74.95,70.29,67.37
72.45,74.83,70.13,67.31
72.38,74.36,70.07,67.15
72.33,74.26,69.87,67.08
72.3,74.26,69.63,66.75
72.17,74.25,69.46,66.71
72.13,74.11,69.34,66.51
72.13,73.92,69.24,66.44
71.77,73.74,69.01,66.11
71.43,73.62,68.85,65.88
71.37,73.56,68.7,65.82
70.9,73.48,68.59,65.8
70.8,73.41,68.54,65.72
70.8,73.36,68.5,65.65
70.67,73.26,68.35,65.54
70.5,73.03,68.27,65.4
70.31,72.9,68.26,65.23
70.29,72.6,68.16,64.98
70.29,72.46,68.01,64.84
70.21,72.38,67.99,64.69
69.68,72.26,67.99,64.63
69.62,72.2,67.94,64.58
69.59,72.09,67.89,64.58
69.47,72.06,67.55,64.53
69.46,72.02,67.37,64.52
69.41,71.85,67.37,64.48
69.4,71.83,67.36,64.44
69.12,71.77,67.28,64.41
69.03,71.61,67.23,64.36
68.95,71.61,67.22,64.24
68.93,71.57,67.14,64.14
68.83,71.57,66.95,63.86
68.66,71.48,66.89,63.74
68.6,71.46,66.89,63.74
68.35,71.44,66.87,63.69
68.3,71.4,66.84,63.6
68.23,71.28,66.71,63.28
68.14,71.22,66.48,63.24
68.11,71.09,66.47,63.18
68.1,71.05,66.46,63.11
68.06,71,66.33,62.95
67.93,70.94,66.28,62.84
67.91,70.92,66.02,62.79
67.85,70.9,65.99,62.76
67.7,70.88,65.93,62.75
67.62,70.72,65.87,62.74
67.61,70.66,65.69,62.68
67.57,70.59,65.64,62.62
67.5,70.45,65.51,62.61
67.38,70.41,65.45,62.55
67.29,70.36,65.45,62.52
67.29,70.29,65.38,62.52
67.26,70.26,65.24,62.47
67.26,70.13,65.23,62.27
67.23,70.09,65.23,62.2
67.07,70.08,65.17,62.19
67.06,70.07,65.12,62.05
66.95,70.06,65.07,62.02
66.92,70.01,64.91,62
66.84,69.97,64.79,61.94
66.83,69.87,64.75,61.75
66.83,69.83,64.74,61.73
66.75,69.77,64.74,61.69
66.71,69.75,64.58,61.6
66.58,69.71,64.52,61.43
66.55,69.66,64.31,61.33
66.52,69.63,64.28,61.3
66.46,69.61,64.27,61.24
66.42,69.56,64.2,61.22
66.32,69.54,64.19,61.17
66.31,69.46,64.19,60.95
66.24,69.42,64.17,60.8
66.22,69.41,64.12,60.76
66.06,69.26,64.07,60.74
66.03,69.25,64.04,60.65
65.88,69.23,63.98,60.63
65.71,69.21,63.98,60.62
65.56,69.19,63.85,60.58
65.49,69.01,63.75,60.42
65.3,68.88,63.72,60.34
65,68.85,63.69,60.34
64.99,68.78,63.47,60.31
64.97,68.68,63.4,60.26
64.97,68.67,63.4,60.2
