1990,2000,2010,2020
3.88,4.92,4.06,4.67
3.84,4.26,4.03,4.55
3.82,4.22,4.02,4.55
3.76,4.21,4.01,4.42
3.76,4.08,4,4.38
3.75,4.07,3.97,4.38
3.71,4.07,3.95,4.35
3.68,4.05,3.94,4.35
3.67,4.03,3.94,4.31
3.65,4,3.93,4.24
3.64,3.99,3.92,4.23
3.64,3.98,3.92,4.23
3.64,3.98,3.9,4.22
3.62,3.96,3.9,4.22
3.59,3.95,3.89,4.22
3.58,3.95,3.89,4.2
3.57,3.94,3.88,4.2
3.56,3.92,3.87,4.19
3.55,3.92,3.86,4.19
3.52,3.91,3.86,4.15
3.51,3.91,3.82,4.15
3.51,3.9,3.82,4.15
3.5,3.89,3.82,4.14
3.5,3.88,3.81,4.1
3.5,3.88,3.8,4.09
3.49,3.88,3.79,4.06
3.48,3.85,3.79,4.06
3.47,3.84,3.79,4.06
3.47,3.83,3.78,4.05
3.47,3.82,3.77,4.05
3.43,3.82,3.77,4.05
3.43,3.81,3.76,4.04
3.42,3.79,3.76,4.04
3.41,3.77,3.76,4.03
3.41,3.75,3.76,4.01
3.41,3.75,3.75,4
3.4,3.74,3.75,4
3.4,3.74,3.75,4
3.4,3.73,3.75,3.99
3.4,3.73,3.74,3.97
3.4,3.73,3.74,3.97
3.39,3.69,3.73,3.97
3.39,3.69,3.73,3.96
3.39,3.68,3.72,3.96
3.38,3.68,3.71,3.94
3.38,3.68,3.71,3.93
3.38,3.67,3.71,3.93
3.36,3.66,3.71,3.93
3.35,3.66,3.7,3.93
3.35,3.66,3.7,3.93
3.35,3.65,3.7,3.92
3.35,3.65,3.69,3.92
3.35,3.65,3.68,3.91
3.35,3.65,3.68,3.91
3.33,3.64,3.67,3.9
3.33,3.64,3.67,3.9
3.33,3.64,3.67,3.89
3.32,3.63,3.67,3.89
3.32,3.63,3.67,3.89
3.3,3.63,3.66,3.89
3.3,3.61,3.65,3.89
3.29,3.61,3.65,3.89
3.29,3.6,3.65,3.89
3.29,3.59,3.64,3.88
3.28,3.58,3.64,3.88
3.28,3.58,3.63,3.88
3.28,3.57,3.63,3.88
3.27,3.57,3.63,3.87
3.27,3.57,3.62,3.87
3.27,3.57,3.62,3.87
3.27,3.56,3.62,3.87
3.27,3.56,3.61,3.86
3.27,3.56,3.61,3.86
3.26,3.55,3.61,3.86
3.26,3.55,3.61,3.85
3.26,3.55,3.6,3.84
3.26,3.55,3.6,3.84
3.26,3.54,3.6,3.83
3.26,3.54,3.6,3.83
3.25,3.54,3.58,3.83
3.25,3.54,3.57,3.83
3.23,3.54,3.56,3.82
3.23,3.53,3.56,3.82
3.23,3.53,3.56,3.81
3.23,3.53,3.55,3.81
3.23,3.52,3.55,3.8
3.23,3.52,3.54,3.8
3.22,3.52,3.54,3.8
3.22,3.51,3.54,3.8
3.22,3.51,3.54,3.79
3.22,3.51,3.54,3.79
3.21,3.51,3.54,3.79
3.21,3.5,3.54,3.79
3.2,3.49,3.53,3.79
3.2,3.49,3.53,3.78
3.2,3.49,3.53,3.78
3.19,3.49,3.52,3.78
3.19,3.48,3.51,3.77
3.18,3.48,3.51,3.77
3.18,3.48,3.51,3.77
3.17,3.46,3.51,3.77
3.16,3.44,3.51,3.76
3.16,3.44,3.51,3.76
