1990,2000,2010,2020
70.91,75.15,72.49,74.22
70.85,72.34,71.96,72.54
70.22,71.86,71.95,72.1
70.06,71.2,71.74,71.7
70,71.13,71.43,71.69
69.89,71.09,71.27,71.55
69.73,70.8,71.26,71.54
69.58,70.75,71.15,71.54
69.3,70.46,70.88,70.91
69.12,70.26,70.49,70.87
68.78,70.16,70.42,70.83
68.72,70.14,70.28,70.8
68.69,70.11,70.25,70.65
68.62,69.81,70.24,70.63
68.02,69.73,70.18,70.57
67.77,69.71,70.12,70.51
67.72,69.6,70.07,70.51
67.72,69.41,70.07,70.31
67.72,69.34,70.07,70.22
67.46,69.31,70,70.21
67.42,69.29,69.92,70.2
67.4,69.29,69.9,70.18
67.29,69.25,69.88,70.11
67.27,69.25,69.87,70.07
67.24,69.18,69.78,70.02
67.21,69.14,69.74,69.98
67.2,69.11,69.73,69.92
67.19,69,69.72,69.66
67.07,69,69.68,69.65
67.02,68.97,69.63,69.63
66.99,68.94,69.61,69.61
66.86,68.89,69.59,69.58
66.73,68.86,69.41,69.48
66.73,68.72,69.36,69.44
66.72,68.72,69.32,69.44
66.67,68.58,69.31,69.44
66.67,68.52,69.23,69.44
66.67,68.5,69.11,69.31
66.67,68.48,69.06,69.3
66.57,68.45,69.04,69.27
66.57,68.3,69,69.25
66.55,68.27,68.98,69.07
66.55,68.06,68.95,69.04
66.52,68.06,68.95,69.03
66.47,68.01,68.8,68.94
66.46,67.96,68.72,68.92
66.44,67.92,68.71,68.83
66.44,67.9,68.68,68.78
66.28,67.89,68.65,68.76
66.19,67.86,68.65,68.74
66.07,67.81,68.62,68.64
65.94,67.79,68.61,68.56
65.86,67.79,68.6,68.54
65.8,67.75,68.57,68.47
65.75,67.75,68.54,68.46
65.75,67.74,68.52,68.43
65.73,67.71,68.52,68.36
65.7,67.66,68.5,68.36
65.7,67.58,68.33,68.36
65.69,67.52,68.29,68.31
65.69,67.46,68.24,68.29
65.64,67.46,68.23,68.25
65.57,67.43,68.22,68.24
65.57,67.41,68.22,68.2
65.53,67.41,68.22,68.19
65.36,67.37,68.18,68.14
65.29,67.36,68.17,68.13
65.24,67.33,68.11,68.11
65.22,67.28,68.02,68.1
65.21,67.23,67.95,68.03
65.18,67.17,67.95,67.97
65.14,67.1,67.92,67.96
65.1,67.04,67.92,67.92
65.07,66.92,67.9,67.91
65.02,66.92,67.86,67.83
64.99,66.87,67.86,67.78
64.96,66.85,67.83,67.74
64.95,66.82,67.8,67.7
64.92,66.78,67.79,67.68
64.91,66.67,67.79,67.68
64.85,66.61,67.79,67.66
64.83,66.6,67.74,67.63
64.79,66.49,67.69,67.54
64.78,66.39,67.68,67.46
64.74,66.24,67.68,67.39
64.72,66.22,67.61,67.33
64.7,66.21,67.58,67.26
64.67,66.19,67.49,67.24
64.63,66.18,67.49,67.22
64.59,66.12,67.42,67.17
64.58,66.08,67.39,67.13
64.55,66.06,67.33,67.13
64.54,66.04,67.12,67.08
64.53,65.97,67.11,67.07
64.52,65.95,66.94,66.98
64.43,65.91,66.86,66.97
64.42,65.86,66.81,66.97
64.4,65.83,66.78,66.95
64.29,65.82,66.77,66.95
64.14,65.82,66.75,66.93
