Fedex Rank 2021,Name,Driving distance (avg yds),Driving accuracy (%),Greens in Regulation (%),Birdie average
1,Patrick Cantlay,302.8,60.71,70.16,4.29
2,Jon Rahm,309,63.73,71.93,4.51
3,Kevin Na,288.5,66.56,64.11,4
4,Justin Thomas,303.9,55.72,67.79,4.31
5,Viktor Hovland,302.2,63.86,68.61,4.4
5,Xander Schauffele,307.6,58.83,68.64,4.28
7,Bryson DeChambeau,323.7,54.18,67.15,4.5
8,Dustin Johnson,312.9,57.87,66.67,4.25
9,Billy Horschel,294.7,65.70,66.47,3.69
9,Abraham Ancer,290.4,71.05,69.27,4.2
11,Daniel Berger,296.7,65.48,70.5,4.23
11,Tony Finau,305.5,56.29,67.1,4.16
11,Jason Kokrak,307.9,60.18,69.19,4.28
14,Rory McIlroy,319.3,57.36,65.77,4.51
14,Louis Oosthuizen,297.8,63.47,67.64,3.86
14,Sergio Garcia,309.4,61.18,70.05,3.96
14,Cameron Smith,297.9,59.23,65.72,4.48
18,Harris English,299.4,64.29,65.76,4.26
18,Sam Burns,305.3,58.9,67.79,4.43
20,Jordan Spieth,299.5,53.92,64.58,4.3
20,Sungjae Im,297.1,69.12,69.08,4.08
22,Corey Conners,295.4,70.15,69.93,3.99
22,Erik van Rooyen,305.3,61.12,64.38,3.9
22,Scottie Scheffler,305,63.49,68.08,4.39
25,Patrick Reed,291.4,63.21,62.11,4
26,Hideki Matsuyama,299.9,62.25,67.03,4.06
26,Stewart Cink,306.6,56.42,69.44,3.93
26,Collin Morikawa,295.2,69.6,70.8,4.23
29,Joaquin Niemann,310.6,59.2,68.57,4.14
30,Brooks Koepka,310.7,56.63,68.01,4.21
31,K H Lee,298.4,63.06,64.26,3.64
32,Charley Hoffman,306.5,57.11,67.85,4.2
33,Alex Noren,297.9,58.26,63.21,3.76
34,Si Woo Kim,296.3,62.71,65.78,3.89
35,Max Homa,300.8,58.44,63.89,3.93
36,Hudson Swafford,303.1,63.94,67.89,3.83
37,Cam Davis,309,56.11,65.31,4.17
38,Kevin Kisner,289.1,67.61,64.96,3.72
39,Keegan Bradley,300.2,65.03,69.96,3.77
40,Webb Simpson,292.5,67.08,69.37,4.34
41,Brian Harman,291.7,66.88,64.33,3.91
42,Marc Leishman,293.8,58.46,65.72,3.55
43,Cameron Tringale,297.5,61.17,67.63,4.11
44,Harold Varner III,300.7,59.87,67.78,3.76
45,Shane Lowry,299.6,59.91,68.35,3.91
46,Lucas Glover,294.9,64.05,66.72,3.83
47,Matt Jones,304,55.62,65.74,3.68
48,Carlos Ortiz,303,60.36,67.03,3.89
49,Aaron Wise,300.6,60.04,70.35,4.11
50,Lee Westwood,294.1,62.93,64.78,3.48
51,Charl Schwartzel,303,57.76,66.86,3.64
52,Paul Casey,303.9,62.2,68.83,3.9
53,Sebastian Munoz,297.5,62.96,66.67,4.09
54,Tom Hoge,289.2,63.7,62.62,3.88
55,Branden Grace,293.8,55.5,64.47,3.78
56,Russell Henley,289.8,67.07,69.44,3.73
57,Cameron Champ,317.1,58.86,66,3.91
58,Maverick McNealy,298.7,60.48,66.52,3.99
59,Emiliano Grillo,298.2,64.78,71.47,4.1
60,Robert Streb,292.3,58.33,64.57,3.45
61,Jhonattan Vegas,312.1,56.94,68.81,4.07
62,Chris Kirk,291.9,63.44,68.35,3.72
63,Patton Kizzire,300.9,58.03,67.76,4.23
64,Kevin Streelman,295.6,66.32,69.21,3.97
65,Keith Mitchell,307.2,56.5,64.62,3.83
66,Harry Higgs,298.9,57.26,63.68,4.06
67,Mackenzie Hughes,293.5,58.05,64.44,3.66
68,Talor Gooch,299.1,60.16,65.8,3.8
69,Ryan Palmer,304.6,59.98,65.54,4.08
70,Phil Mickelson,301.8,54.47,62.99,3.72
